CANCEL	min=170.0	50%=178.0	90%=204.4	99%=222.39999999999998	99.9%=224.74
ORDER	min=169.0	50%=190.0	90%=249.0	99%=271.0	99.9%=474.0
PAYMENT	min=185.0	50%=200.0	90%=257.0	99%=276.28	99.9%=306.8080000000001
